CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
MVCC;740.3151784437753;False;1.0;15.0;True;168;4;1657986;0;0;0.0;0.0;68357387702.0;72538197028.0;0.0;0.0;0.0;0.000227;3679.217608;342.33844500000004;40.010244;13.024319;186.048044;0.445694;3.312359;3080.6882539999997;16212980
MVCC;1605.341191390664;False;1.0;15.0;True;16;4;90561;0;0;0.0;0.0;2123624924.0;2517364384.0;0.0;0.0;0.0;1e-05;15.620485;0.903115;1.304893;0.923689;6.682444;0.046245;0.12976600000000002;4.665064;1567263
MVCC;233.57773350182075;False;1.0;15.0;True;1;4;0;0;0;0.0;0.0;108153680.0;88372804.0;0.0;0.0;0.0;4e-06;0.428123;0.0;0.044364;0.040625;0.285978;0.0019370000000000001;0.002491;0.0;100000
MVCC;672.9997936531698;False;1.0;15.0;True;224;4;2299945;0;0;0.0;0.0;102861559952.0;107983101196.0;0.0;0.0;0.0;0.000333;7322.632473999999;694.458178;57.437163;18.433936;279.180251;0.629146;4.995868;6245.264234;22000581
MVCC;421.5709794489202;False;1.0;15.0;True;280;4;2808688;0;0;0.0;0.0;225174454248.0;208067483912.0;0.0;0.0;0.0;0.000664;18082.473822;1700.6411079999998;118.23908;34.355482;565.576078;0.823557;8.996191;15625.930871999999;27225165
MVCC;1772.1018795449888;False;1.0;15.0;True;28;4;276642;0;0;0.0;0.0;4227664346.0;4729451120.0;0.0;0.0;0.0;1.6e-05;43.457752;4.064;2.620816;1.663029;12.318209;0.088001;0.231767;20.903733;2750413
MVCC;671.2423572802707;False;1.0;15.0;True;4;4;69;0;0;0.0;0.0;544637346.0;460597902.0;0.0;0.0;0.0;6e-06;2.321981;0.000692;0.250244;0.23045;1.4695799999999999;0.008348000000000001;0.023513;0.019921;389653
MVCC;1766.4194714429138;False;1.0;15.0;True;56;4;690448;0;0;0.0;0.0;9661464616.0;10044291076.0;0.0;0.0;0.0;3.2e-05;175.942585;19.191647;6.025227;3.004871;26.475171000000003;0.169062;0.49019399999999996;118.73193500000001;5549793
MVCC;1141.2476807227924;False;1.0;15.0;True;8;4;14834;0;0;0.0;0.0;996053552.0;1099755486.0;0.0;0.0;0.0;7.000000000000001e-06;5.474766000000001;0.100814;0.563403;0.460021;3.107554;0.0193;0.051743;0.610019;781008
NO WAIT;306.8735147971261;False;1.0;15.0;True;112;4;326284945;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000365;3773.946542;3343.071816;222.95944500000002;4.203735;365.431786;1460.183908;0.0;0.0;10340395
NO WAIT;173.91503421469676;False;1.0;15.0;True;168;4;1009667817;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009660000000000001;14608.096301;13435.017613;673.744803;6.736058;1052.1149130000001;4726.796493;0.0;0.0;15122426
NO WAIT;981.1641291695078;False;1.0;15.0;True;16;4;2630118;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6e-05;24.400093;15.356725;2.1259810000000003;0.581205;5.074344;15.992466;0.0;0.0;1496281
NO WAIT;238.5285649883002;False;1.0;15.0;True;1;4;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.41923699999999997;0.0;0.117843;0.027139999999999997;0.271111;0.001954;0.0;0.0;100000
