CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
NO WAIT;1017.6289900939709;False;1.0;15.0;False;168;1024;271;0;0;1979077113.0;0.0;6758007177.0;0.0;5.427933;0.0;0.0;0.000165;2478.982844;0.032563999999999996;51.654864;124.991276;343.152621;0.40525;0.0;0.0;15015981
NO WAIT;106.9532443197132;False;1.0;15.0;False;1;1024;0;0;0;10454117.0;0.0;8052824.0;0.0;0.006412999999999999;0.0;0.0;9e-06;0.9349879999999999;0.0;0.11665;0.054051;0.411711;0.001962;0.0;0.0;100000
NO WAIT;758.9271913913976;False;1.0;15.0;False;224;1024;612;0;0;2166477101.0;0.0;15162406527.0;0.0;7.561883;0.0;0.0;0.000295;5976.857632;0.151696;73.468438;263.250418;571.613753;0.5181;0.0;0.0;20249999
NO WAIT;1456.873164535431;False;1.0;15.0;False;28;1024;2;0;0;27854890.0;0.0;435692432.0;0.0;0.307291;0.0;0.0;1.9e-05;53.299517;6.6e-05;4.676419;4.481121;19.966026;0.060489;0.0;0.0;2773237
NO WAIT;496.5963905107189;False;1.0;15.0;False;448;1024;2028;0;0;5092557657.0;0.0;62215052239.0;0.0;21.802495999999998;0.0;0.0;0.0009019999999999999;26496.35961;1.352971;405.139209;797.305933;2001.3898140000001;1.560861;0.0;0.0;29370528
NO WAIT;1828.9361854451213;False;1.0;15.0;False;56;1024;26;0;0;42206747.0;0.0;798562727.0;0.0;0.5250060000000001;0.0;0.0;3.1e-05;166.219525;0.000842;9.680268;10.590409;40.541717;0.116496;0.0;0.0;5428659
NO WAIT;446.7776852344044;False;1.0;15.0;False;896;1024;8904;0;0;55149498561.0;0.0;57920861338.0;0.0;92.503695;0.0;0.0;0.0020050000000000003;79638.434004;8.974842;975.384816;1365.519184;3682.4966689999997;2.975767;0.0;0.0;39710575
OCC;200.08234740748807;False;1.0;15.0;False;1024;1024;15058;0;0;100505102827.0;0.0;498488159586.0;0.0;203.846595;0.0;0.0;0.005118;322564.967256;2248.712666;128515.325172;3449.292629;272367.204941;3.0699349999999996;3.085142;0.0;63026910
OCC;1013.2016021822094;False;1.0;15.0;False;112;1024;231;0;0;79391225.0;0.0;1400191434.0;0.0;0.622419;0.0;0.0;0.00011100000000000001;1164.212403;0.049143;286.422584;48.021296;636.263417;0.227246;0.439671;0.0;10531981
OCC;626.7489087743263;False;1.0;15.0;False;168;1024;448;0;0;5939072818.0;0.0;17979236354.0;0.0;13.167106;0.0;0.0;0.000268;4107.130961;0.223268;1000.941695;235.03065800000002;2039.8118170000002;0.385761;0.657359;0.0;15322261
