Backoff;CC;Configuration;Configuration Detailed;KTPS;NO HT;Numa Distance;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;neworder_cnt;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
0;OCC;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;15615.459136213318;False;All;1.0;15.0;False;784;1568;2412;0;0;156828137.0;0.0;10042238073.0;0.0;19.572103;0.0;0.0;5e-05;0.0;1420.685923;0.390676;166.073573;17.568917000000003;1056.285537;0.630031;1.193167;0.0;28296764
0;OCC;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;13603.806762575725;False;All;1.0;15.0;False;784;1568;2359;0;0;204684913.0;0.0;21434520474.0;0.0;34.100394;0.0;0.0;5.7999999999999994e-05;0.0;1645.959861;0.39414699999999997;224.75660200000002;32.282358;1274.276124;23.947731;17.273837;0.0;28560357
0;TICTOC;1;28skt-1-config-base+alloc;17736.82056371044;False;All;1.0;15.0;False;784;1568;3374;0;0;174947946.0;0.0;1251328489.0;0.0;0.669007;0.0;0.0;4.4e-05;0.0;1198.875119;0.370723;42.852957;33.847204999999995;574.481397;0.58497;0.0;0.0;27122746
0;TICTOC;2;28skt-2-config-base+alloc+index;20158.673142486386;False;All;1.0;15.0;False;784;1568;3347;0;0;184290857.0;0.0;1134471114.0;0.0;0.660269;0.0;0.0;3.9e-05;0.0;990.9139349999999;0.320911;45.112919;22.10649;560.762077;0.558898;0.0;0.0;25478967
0;TICTOC;3;28skt-3-config-base+alloc+index+latch;19895.580544596134;False;All;1.0;15.0;False;784;1568;3498;0;0;187412162.0;0.0;1117742240.0;0.0;0.6450819999999999;0.0;0.0;3.9e-05;0.0;1007.876852;0.34944899999999995;44.21948;22.394813;580.010724;0.550349;0.0;0.0;25576907
0;TICTOC;4;28skt-4-config-base+alloc+index+latch+replicate_item;21390.245229986787;False;All;1.0;15.0;False;784;1568;3714;0;0;161065767.0;0.0;980111727.0;0.0;0.558604;0.0;0.0;3.7e-05;0.0;800.908211;0.36999099999999996;21.022448999999998;18.813648;452.64678499999997;0.48711400000000005;0.0;0.0;21851560
0;TICTOC;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;20892.292065569036;False;All;1.0;15.0;False;784;1568;3618;0;0;141833785.0;0.0;968882231.0;0.0;0.537732;0.0;0.0;3.8e-05;0.0;774.485143;0.351199;68.581637;21.430761999999998;371.970088;0.48384099999999997;0.0;0.0;20638737
0;TICTOC;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;21298.426137913502;False;All;1.0;15.0;False;784;1568;3646;0;0;101340831.0;0.0;935431653.0;0.0;0.50693;0.0;0.0;3.7e-05;0.0;743.694006;0.351286;67.199338;18.607481;387.460891;0.511139;0.0;0.0;20203459
0;WAIT DIE;1;28skt-1-config-base+alloc;3734.7953100739455;False;All;1.0;15.0;False;784;1568;129583;0;0;361858623.0;0.0;10238955809.0;0.0;11.033118;0.0;0.0;0.00021;0.0;13545.264652000002;1.9963119999999999;6020.047132;64.173294;12759.530564;4.019531;1.646726;0.205698;64526519
0;WAIT DIE;2;28skt-2-config-base+alloc+index;3732.6311679670903;False;All;1.0;15.0;False;784;1568;123758;0;0;365491062.0;0.0;9665855016.0;0.0;10.565223;0.0;0.0;0.00021;0.0;13779.034871000002;1.6782110000000001;6239.171060000001;53.985841;13221.352851;3.9446449999999995;1.565513;0.21179699999999999;65602111
